127.0.0.1 - - [01/Jul/2016:11:29:07 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:11 +0530] "GET /musicstore/ HTTP/1.1" 200 4262
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:11 +0530] "GET /musicstore/resources/css/style.css;jsessionid=31D2A93005A40D03021739D5601E3012 HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:11 +0530] "GET /musicstore/resources/css/bootstrap.min.css;jsessionid=31D2A93005A40D03021739D5601E3012 HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:11 +0530] "GET /musicstore/resources/js/script.js;jsessionid=31D2A93005A40D03021739D5601E3012 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:11 +0530] "GET /musicstore/resources/js/bootstrap.min.js;jsessionid=31D2A93005A40D03021739D5601E3012 HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:11 +0530] "GET /musicstore/resources/resources/images/20150607_160950.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:11 +0530] "GET /musicstore/resources/resources/images/20150607_160943.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:11 +0530] "GET /musicstore/resources/css/%3Cc:url%20value=%22/resources/images/20150607_161002.jpg%22/%3E HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:11 +0530] "GET /musicstore/resources/resources/images/20150607_161002.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:23 +0530] "GET /musicstore/allProducts HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:23 +0530] "GET /musicstore/resources/css/styles.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:23 +0530] "GET /musicstore/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:36 +0530] "GET /musicstore/resources/css/%3Cc:url%20value=%22/resources/images/20150607_161002.jpg%22/%3E HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:36 +0530] "GET /musicstore/resources/resources/images/20150607_160950.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:36 +0530] "GET /musicstore/resources/resources/images/20150607_161002.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:36 +0530] "GET /musicstore/resources/resources/images/20150607_160943.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:39 +0530] "GET /musicstore/contactUs HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:39 +0530] "GET /musicstore/resources/resources/css/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:39 +0530] "GET /musicstore/JavaScript1.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:39 +0530] "GET /WEB-INF/resources/images/glyphicons-4-user.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:52 +0530] "GET /musicstore/ HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:52 +0530] "GET /musicstore/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:52 +0530] "GET /musicstore/ HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:52 +0530] "GET /musicstore/resources/css/%3Cc:url%20value=%22/resources/images/20150607_161002.jpg%22/%3E HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:52 +0530] "GET /musicstore/resources/resources/images/20150607_160943.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:52 +0530] "GET /musicstore/resources/resources/images/20150607_160950.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:52 +0530] "GET /musicstore/resources/resources/images/20150607_161002.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:55 +0530] "GET /musicstore/allProducts HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [01/Jul/2016:11:29:55 +0530] "GET /musicstore/resources/css/styles.css HTTP/1.1" 404 992
